ax,ay,az,gx,gy,gz,temp_raw,flags,ax_g,ay_g,az_g,a_mag
13375,26553,0,0,2,0,0,0,1.671875,3.319125,0.0,3.7164171968779285
-23624,-28332,29282,16406,8965,-25260,3029,16400,-2.953,-3.5415,3.66025,5.887262633219279
-10856,-11146,-31699,-16373,13435,26553,0,0,-1.357,-1.39325,-3.962375,4.413956298279923
2,0,0,0,-18945,-17734,12539,-16392,0.00025,0.0,0.0,0.00025
-32211,-24654,29701,16420,-6357,-31131,211,-16362,-4.026375,-3.08175,3.712625,6.284302912316528
13495,26553,0,0,2,0,0,0,1.6868750000000001,3.319125,0.0,3.7231892285042405
-23997,1072,-24299,-16402,31779,-7054,-14844,16423,-2.999625,0.134,-3.037375,4.270989701608984
12212,26443,22363,-16363,13555,26553,0,0,1.5265,3.305375,2.795375,4.5901881803745255
2,0,0,0,-12368,-31663,-7636,16343,0.00025,0.0,0.0,0.00025
-305,16704,-29105,16426,-28757,-4363,-5827,-16364,-0.038125,2.088,-3.638125,4.194895830798424
13615,26553,0,0,2,0,0,0,1.701875,3.319125,0.0,3.7300092870192696
25315,-32718,8698,16354,-12971,-23834,-29430,16428,3.164375,-4.08975,1.08725,5.284073879652422
-29091,7558,27222,-16358,13675,26553,0,0,-3.636375,0.94475,3.40275,5.068972604544732
2,0,0,0,-30828,5154,-22129,-16376,0.00025,0.0,0.0,0.00025
-24057,-11311,-25931,16429,-17252,-24349,-11325,-16369,-3.0071250000000003,-1.413875,-3.241375,4.642020591496229
13735,26553,0,0,2,0,0,0,1.716875,3.319125,0.0,3.736877109465871
-10739,23780,9928,-16376,-4174,24369,31564,16431,-1.342375,2.9725,1.241,3.4896716021174545
21964,-31185,12818,-16371,13802,26553,0,0,2.7455000000000003,-3.8981250000000003,1.60225,5.029945708268133
2,0,0,0,26758,-17112,-8282,16384,0.00025,0.0,0.0,0.00025
29757,13572,6888,16431,-15986,30990,-32538,-16360,3.719625,1.6965000000000001,0.861,4.17792333469931
13862,26553,0,0,2,0,0,0,1.73275,3.319125,0.0,3.744197287553769
30488,-19184,-20801,16359,32604,5184,-19580,16430,3.811,-2.398,-2.6001250000000002,5.199497573383894
15675,2215,3608,-16364,13923,26553,0,0,1.959375,0.276875,0.451,2.0295839860055067
2,0,0,0,0,0,0,0,0.00025,0.0,0.0,0.00025
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15008,26553,0,0,2,0,0,0,1.8760000000000001,3.319125,0.0,3.8126062956493425
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,15068,26553,0,0,0.0,0.0,0.0,0.0
2,0,0,0,16594,4739,-21514,16413,0.00025,0.0,0.0,0.00025
-27286,23824,3814,16439,-25064,13926,-15575,-16397,-3.41075,2.978,0.47675,4.552910072140675
15128,26553,0,0,2,0,0,0,1.891,3.319125,0.0,3.8200093933948644
5457,25949,2450,16345,20786,-20099,30547,16438,0.682125,3.243625,0.30625,3.3286914424064604
-9360,23958,-12425,-16378,15189,26553,0,0,-1.17,2.9947500000000002,-1.553125,3.570661679314494
2,0,0,0,0,0,0,0,0.00025,0.0,0.0,0.00025
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15249,26553,0,0,2,0,0,0,1.906125,3.319125,0.0,3.8275192071693125
-5170,20473,-1328,-16367,28313,-20655,32314,16439,-0.64625,2.559125,-0.166,2.644676885391673
