0,1,2,3,4,5,6,7
13375,26553,0,0,2,0,0,0
-23624,-28332,29282,16406,8965,-25260,3029,16400
-10856,-11146,-31699,-16373,13435,26553,0,0
2,0,0,0,-18945,-17734,12539,-16392
-32211,-24654,29701,16420,-6357,-31131,211,-16362
13495,26553,0,0,2,0,0,0
-23997,1072,-24299,-16402,31779,-7054,-14844,16423
12212,26443,22363,-16363,13555,26553,0,0
2,0,0,0,-12368,-31663,-7636,16343
-305,16704,-29105,16426,-28757,-4363,-5827,-16364
13615,26553,0,0,2,0,0,0
25315,-32718,8698,16354,-12971,-23834,-29430,16428
-29091,7558,27222,-16358,13675,26553,0,0
2,0,0,0,-30828,5154,-22129,-16376
-24057,-11311,-25931,16429,-17252,-24349,-11325,-16369
13735,26553,0,0,2,0,0,0
-10739,23780,9928,-16376,-4174,24369,31564,16431
21964,-31185,12818,-16371,13802,26553,0,0
2,0,0,0,26758,-17112,-8282,16384
29757,13572,6888,16431,-15986,30990,-32538,-16360
13862,26553,0,0,2,0,0,0
30488,-19184,-20801,16359,32604,5184,-19580,16430
15675,2215,3608,-16364,13923,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15008,26553,0,0,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,15068,26553,0,0
2,0,0,0,16594,4739,-21514,16413
-27286,23824,3814,16439,-25064,13926,-15575,-16397
15128,26553,0,0,2,0,0,0
5457,25949,2450,16345,20786,-20099,30547,16438
-9360,23958,-12425,-16378,15189,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15249,26553,0,0,2,0,0,0
-5170,20473,-1328,-16367,28313,-20655,32314,16439
25762,-20144,-7190,-16383,15309,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15369,26553,0,0,2,0,0,0
-25270,14738,-13792,-16378,-3945,-5195,-14710,16416
29753,-22780,6246,-16363,15429,26553,0,0
2,0,0,0,10403,-12438,-14409,16348
-16669,9799,28191,16388,-29941,4024,27471,-16367
16292,26553,0,0,2,0,0,0
20260,3560,10384,-16426,-18752,4023,-28250,16378
-32760,-9983,23929,-16374,16767,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
18789,26553,0,0,2,0,0,0
22146,-5857,-4652,16411,-24142,9064,960,16419
6341,-9142,27440,-16358,18849,26553,0,0
2,0,0,0,-30288,16313,17720,16363
27813,-4773,-13851,16388,-23633,17623,18187,-16363
19032,26553,0,0,2,0,0,0
16576,14974,-12793,16345,-13604,23261,29356,16381
-16898,-28979,-25500,-16363,19345,26553,0,0
2,0,0,0,-5546,-30449,12912,16373
-25770,-19016,-16529,16397,0,2549,21655,-16385
19405,26553,0,0,2,0,0,0
1271,9744,31697,16403,18935,27101,29111,16413
-11688,2936,28097,-16382,19466,26553,0,0
2,0,0,0,-29573,-11162,11447,16389
-26984,-4134,-19588,16425,10691,-25871,-25871,-16382
19526,26553,0,0,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,19586,26553,0,0
2,0,0,0,18276,-16179,-5573,16387
-17664,11364,5354,16435,13269,26832,20601,-16368
19646,26553,0,0,2,0,0,0
-20096,30177,26253,-16408,-31060,-12824,30495,16434
-24954,-31663,10288,-16378,19706,26553,0,0
2,0,0,0,-10052,-32374,-12022,-16397
17143,7710,23584,16433,-23323,-4122,-14693,-16383
19766,26553,0,0,2,0,0,0
10896,-6955,26208,-16429,1435,7521,-18193,16388
-31605,27203,-3604,-16385,19873,26553,0,0
2,0,0,0,8983,10379,4132,16368
-29436,30654,32355,16399,24966,-2098,-31566,-16380
19933,26553,0,0,2,0,0,0
13446,16581,27425,16366,-7079,22696,3920,16396
18502,-17512,-16614,-16382,19993,26553,0,0
2,0,0,0,-23339,-24138,2923,16339
-27435,-14640,-8062,16396,18152,9866,-14570,-16383
20053,26553,0,0,2,0,0,0
3041,-3850,-9420,16369,3412,18206,-20619,16394
27932,17682,-12047,-16386,20113,26553,0,0
2,0,0,0,-11256,27637,-2710,16367
-8095,16937,-73,16395,24,30270,24776,-16386
20173,26553,0,0,2,0,0,0
20660,12678,1983,16366,-8344,-8155,-26250,16395
-27882,959,-511,-16382,20233,26553,0,0
2,0,0,0,26106,-27940,-26757,16373
-21076,25059,22584,16394,-32170,-7915,22544,-16381
20293,26553,0,0,2,0,0,0
3480,6484,-27739,-16414,29480,4988,32466,16395
26129,13288,-1753,-16386,20353,26553,0,0
2,0,0,0,-3326,3808,-15298,-16397
-28063,20512,-32373,16396,22798,31494,10506,-16383
20526,26553,0,0,2,0,0,0
-31132,8880,21131,-16408,-7194,-20698,-31712,16397
-24524,29405,-9523,-16386,20586,26553,0,0
2,0,0,0,-29620,-26355,15060,16372
-31513,24656,-2558,16394,-10564,-21619,5452,-16389
20646,26553,0,0,2,0,0,0
4364,-2663,-7963,16375,-5214,-4030,-26732,16394
-20581,-30416,5270,-16379,20808,26553,0,0
2,0,0,0,-31930,8405,6681,16365
4138,32579,26032,16392,32405,25350,-25821,-16381
20925,26553,0,0,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,21012,26553,0,0
2,0,0,0,764,-27947,-15694,-16404
18385,-8886,-23513,16390,16362,-20714,-11755,-16383
21072,26553,0,0,2,0,0,0
25792,-24163,14510,-16399,-15168,31447,4482,16391
-12748,29571,-29029,-16383,21232,26553,0,0
2,0,0,0,15376,-3035,-7721,16366
-23953,-27671,-26118,16393,1478,1509,-11113,-16379
21292,26553,0,0,2,0,0,0
-4008,-25893,-6231,16372,-14217,12713,-26243,16398
21657,11996,14300,-16379,21352,26553,0,0
2,0,0,0,-3243,53,-15751,16409
-11319,-2612,4097,16401,8568,16668,-3932,-16380
21412,26553,0,0,2,0,0,0
-12236,16310,-30842,16385,24946,16528,-30373,16401
-22220,29189,-21228,-16379,21472,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
21532,26553,0,0,2,0,0,0
-21720,23634,7649,16391,-32693,13223,8229,16385
18564,-28221,-18099,-16382,21592,26553,0,0
2,0,0,0,-27080,-3113,-27404,16362
-12559,28531,-7876,16390,25946,1761,-4488,-16384
21822,26553,0,0,2,0,0,0
-18856,26517,16300,16378,10512,31948,-12913,16392
-11924,28842,30172,-16376,21885,26553,0,0
2,0,0,0,-3573,-11301,7533,16386
6752,268,27359,16392,-6301,-29758,9104,-16380
21945,26553,0,0,2,0,0,0
-4593,16014,20025,16390,-3435,-27803,-8018,16402
339,32578,861,-16381,22005,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
22065,26553,0,0,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,22125,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
22186,26553,0,0,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,22246,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
22310,26553,0,0,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,22371,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
22432,26553,0,0,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,22492,26553,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
22552,26553,0,0,2,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,22625,26553,0,0
2,0,0,0,-3392,16510,-13563,16293
-6302,-3356,5982,16438,23940,-30151,19454,-16365
22685,26553,0,0,2,0,0,0
-30944,15561,-25656,16374,-24872,-22407,7182,16401
2072,28308,7437,-16376,22746,26553,0,0
2,0,0,0,-27574,27824,14273,16389
6950,8610,-6765,16376,5942,-549,-23273,-16382
22806,26553,0,0,2,0,0,0
-31287,28188,28454,16391,30228,22608,445,16392
6075,13787,17125,-16369,22867,26553,0,0
2,0,0,0,20887,-8532,-10356,16391
-19050,-24430,24467,16386,23208,-1180,-30654,-16370
22927,26553,0,0,2,0,0,0
28229,-14385,-9615,16390,28245,32159,-3280,16391
-3745,21417,9328,-16378,23184,26553,0,0
2,0,0,0,-14889,7922,2939,16342
-26924,20236,28064,16389,8434,16884,-10594,-16363
23244,26553,0,0,2,0,0,0
28272,23800,29853,-16443,1362,8482,-25811,16393
28248,-4046,-1632,-16364,23354,26553,0,0
2,0,0,0,-19146,-5730,-31312,16366
-22231,-14397,-14772,16398,9546,-10560,15616,-16367
23414,26553,0,0,2,0,0,0
24823,-20592,26748,16363,9936,-32149,-24350,16412
18406,-5077,23628,-16365,23474,26553,0,0
2,0,0,0,-10124,-16516,307,16403
-20419,-31561,-21198,16412,-23000,26676,27477,-16365
23534,26553,0,0,2,0,0,0
-27765,-12657,-16959,16402,-23796,3098,-562,16422
24144,29523,4764,-16366,23594,26553,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9726,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,9734,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9791,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,9799,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9855,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,9863,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9920,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,9928,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9984,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,9993,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10049,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,10057,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10114,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,10122,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10178,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,10186,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10243,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,10251,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10307,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,10315,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10372,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,10380,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10437,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,10445,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10502,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,10510,26556,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10567,26556,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,10575,26556,0,0
0,0,0,0,0,0,0,0
